date(YYYY-m-d),streamflow
2018-10-30,2.65438568
2018-10-31,2.469821965
2018-11-01,2.368078403
2018-11-02,2.241682451
2018-11-03,2.055961411
2018-11-04,1.991536508
2018-11-05,1.961635143
2018-11-06,1.891607961
2018-11-07,1.88792232
2018-11-08,3.122344141
2018-11-09,8.698458062
2018-11-10,4.676218678
2018-11-11,3.745506215
2018-11-12,3.307103295
2018-11-13,3.012807589
2018-11-14,2.80435527
2018-11-15,2.626989728
2018-11-16,2.530165403
2018-11-17,2.439759571
2018-11-18,2.355428785
2018-11-19,2.310237994
2018-11-20,2.244827652
2018-11-21,2.19281447
2018-11-22,2.1728094
2018-11-23,2.0945943
2018-11-24,2.067330512
2018-11-25,2.098489127
2018-11-26,2.137437397
2018-11-27,2.063540811
2018-11-28,2.048382011
2018-11-29,1.980167408
2018-11-30,2.326104719
2018-12-01,2.49988436
2018-12-02,2.49988436
2018-12-03,2.665831033
2018-12-04,4.153894221
